#z-coord	CCo.1	CCo.2	CCo.3	CCo_average	Cco_std	SEM
24.9	0.709	0.75151806	0.736521965	0.732346675	0.021564348853582	0.012450182615515
25	0.7078	0.74121206	0.735266965	0.728093008333333	0.017823879461338	0.010290621605007
25.1	0.7066	0.73090606	0.734011965	0.723839341666667	0.015010257735706	0.008666176344315
25.2	0.6937	0.71886806	0.729959965	0.714176008333333	0.018579767950174	0.010727034027514
25.3	0.6941	0.71582406	0.729180965	0.713035008333333	0.017706005569645	0.010222567081908
25.4	0.6863	0.70905206	0.729097965	0.708150008333333	0.021413237142999	0.012362938228732
25.5	0.6822	0.70259006	0.727704965	0.704165008333333	0.022793328115971	0.013159734123483
25.6	0.6823	0.70454206	0.725715965	0.704186008333333	0.02171017235796	0.012534373855021
25.7	0.6807	0.70399006	0.727725965	0.704138675	0.023513334745607	0.013575430144922
25.8	0.6794	0.69449206	0.720999965	0.698297341666667	0.021059425405797	0.012158664927016
25.9	0.6704	0.68854106	0.720890965	0.693277341666667	0.025576525559139	0.014766613916505
26	0.6666	0.68188106	0.720017965	0.689499675	0.027511855936559	0.015883977430879
26.1	0.6616	0.68013206	0.720791965	0.687508008333333	0.030277477446153	0.017480709753919
26.2	0.6474	0.67877706	0.719435965	0.681871008333333	0.036117508920014	0.020852453497429
26.3	0.6325	0.67108306	0.714006965	0.672530008333334	0.04077274310722	0.023540154208553
26.4	0.6237	0.66354806	0.704788965	0.664012341666667	0.040546476163686	0.023409518927795
26.5	0.6212	0.65928406	0.706738965	0.662407675	0.042854945587633	0.024742314371127
26.6	0.6157	0.65109006	0.704509965	0.657100008333333	0.044708970912473	0.025812736391507
26.7	0.6106	0.64973906	0.700364965	0.653568008333333	0.045004809402633	0.025983538823438
26.8	0.6124	0.64793006	0.691291965	0.650540675	0.039510720297142	0.022811524999431
26.9	0.6085	0.64341806	0.691675965	0.647864675	0.041765890115488	0.024113547901121
27	0.6092	0.64203706	0.689713965	0.646983675	0.040484273366012	0.023373606125813
27.1	0.6008	0.64198906	0.683206965	0.641998675	0.041203483341387	0.0237888421987
27.2	0.5931	0.64203606	0.682754965	0.639297008333333	0.044890199267906	0.025917368631302
27.3	0.5879	0.63815406	0.681154965	0.635736341666667	0.046674469956737	0.026947517793805
27.4	0.5944	0.64161506	0.685825965	0.640613675	0.045721207857886	0.026397151664425
27.5	0.59695	0.63676556	0.684616465	0.639444008333333	0.043894564988217	0.025342538911909
27.6	0.5995	0.63191606	0.683406965	0.638274341666667	0.042313301728798	0.024429596143424
27.7	0.596	0.62501106	0.676362965	0.632458008333333	0.04069575304018	0.023495703972622
27.8	0.5935	0.61460506	0.676417965	0.628174341666667	0.043092241571393	0.024879317271228
27.9	0.5943	0.60627306	0.680292965	0.626955341666667	0.046578053722513	0.026891851855022
28	0.5886	0.60320306	0.676831965	0.622878341666667	0.047292255639135	0.027304196523839
28.1	0.578	0.60441406	0.671124965	0.617846341666667	0.047993587276243	0.027709110533315
28.2	0.5683	0.60418506	0.663656965	0.612047341666667	0.048162218576985	0.027806469860192
28.3	0.5639	0.59657006	0.652768965	0.604413008333333	0.044950607492695	0.025952245336145
28.4	0.5642	0.58977806	0.646909965	0.600296008333333	0.042346251374027	0.024448619629966
28.5	0.5668	0.58051606	0.646855965	0.598057341666667	0.042813687121087	0.02471849378436
28.6	0.5583	0.57134406	0.649230965	0.592958341666667	0.0491680076669	0.028387162462002
28.7	0.554	0.55680506	0.644733965	0.585179675	0.051594594517779	0.029788153033569
28.8	0.5601	0.55037306	0.646915965	0.585796341666667	0.053154111861147	0.030688540791569
28.9	0.5619	0.54505106	0.650476965	0.585809341666667	0.056633892904049	0.032697593313409
29	0.5569	0.54107506	0.646721965	0.581565675	0.056979064369503	0.032896878151906
29.1	0.5466	0.54038106	0.642392965	0.576458008333333	0.057185948332237	0.033016322663481
29.2	0.5423	0.53734506	0.637376965	0.572340675	0.056377540921221	0.032549588427116
29.3	0.5419	0.52808406	0.625380965	0.565121675	0.052641301019247	0.030392469313955
29.4	0.5392	0.51275906	0.620772965	0.557577341666667	0.056303160953781	0.032506645132892
29.5	0.5397	0.51119706	0.615721965	0.555539675	0.054032725448509	0.031195808582746
29.6	0.5373	0.50443506	0.607153965	0.549629675	0.05245768795233	0.030286460260343
29.7	0.5374	0.50329506	0.600969965	0.547221675	0.049572630972584	0.028620771836459
29.8	0.5436	0.48845606	0.596668965	0.542908341666667	0.054109768023642	0.031240289134238
29.9	0.5472	0.48911806	0.601135965	0.545818008333333	0.056021738511691	0.032344165810196
30	0.54305	0.48033406	0.601001465	0.541461841666667	0.060349377316815	0.03484272923929
30.1	0.5389	0.47155006	0.600866965	0.537105675	0.06467712255001	0.037341354114659
30.2	0.5273	0.45326806	0.593653965	0.524740675	0.070227937382562	0.040546118552454
30.3	0.5225	0.43502306	0.592795965	0.516773008333333	0.079042211591006	0.045635042139411
30.4	0.5183	0.42632806	0.590844965	0.511824341666667	0.082449400366724	0.047602183496251
30.5	0.5132	0.42375906	0.600402965	0.512454008333333	0.088324315287962	0.050994067207494
30.6	0.502	0.42493606	0.610044965	0.512327008333333	0.092985547282426	0.053685230754254
30.7	0.4952	0.42329006	0.608259965	0.508916675	0.093244714695896	0.053834861130185
30.8	0.491	0.41646806	0.601556965	0.503008341666667	0.093126934292461	0.053766860582557
30.9	0.4923	0.40867806	0.590637965	0.497205341666667	0.091079078495296	0.052584530486802
31	0.4933	0.39758606	0.588957965	0.493281341666667	0.095685953864359	0.055244311221254
31.1	0.4918	0.38802106	0.580014965	0.486612008333333	0.096102036047304	0.055484536381582
31.2	0.4784	0.38125706	0.579243965	0.479633675	0.098999217690717	0.057157224983298
31.3	0.4725	0.37529806	0.586791965	0.478196675	0.105861971654504	0.061119437831672
31.4	0.4695	0.37319106	0.584820965	0.475837341666667	0.105957187567089	0.061174410764435
31.5	0.4629	0.36890206	0.578920965	0.470241008333333	0.105201724875889	0.060738244176308
31.6	0.4504	0.36023606	0.584283965	0.464973341666667	0.11273266008226	0.065086231644955
31.7	0.4416	0.35518806	0.586033965	0.460940675	0.116631917783722	0.067337469128535
31.8	0.4374	0.35265706	0.574591965	0.454883008333333	0.111995612412395	0.064660696974353
31.9	0.432	0.35563406	0.577276965	0.454970341666667	0.112592725259771	0.065005440237523
32	0.429	0.35473006	0.579978965	0.454569675	0.114780762807314	0.066268704304594
32.1	0.4303	0.34926706	0.576593965	0.452053675	0.115214136355848	0.066518912639499
32.2	0.4269	0.34699606	0.573691965	0.449196008333333	0.114980834605783	0.066384215811296
32.3	0.4328	0.34954106	0.565629965	0.449323675	0.108987969944641	0.062924233785969
32.4	0.4375	0.35076206	0.563243965	0.450502008333333	0.106835991845596	0.061681788651196
32.5	0.438	0.35601956	0.559574965	0.451198175	0.10241750140321	0.059130772004872
32.6	0.4385	0.36127706	0.555905965	0.451894341666667	0.098003361967268	0.05658226741329
32.7	0.4306	0.35758006	0.535629965	0.441270008333333	0.089503234444361	0.051674716499794
32.8	0.4231	0.35109706	0.527283965	0.433827008333333	0.08858192763881	0.051142799767603
32.9	0.4209	0.34619006	0.525429965	0.430840008333333	0.090032431436413	0.051980248525609
33	0.4164	0.33602106	0.520260965	0.424227341666667	0.092369021358772	0.05332927934627
33.1	0.4136	0.33418306	0.514651965	0.420811675	0.090450332283547	0.052221523692197
33.2	0.4095	0.33597806	0.517416965	0.420965008333333	0.091261184925259	0.052689669683163
33.3	0.3968	0.33714106	0.514092965	0.416011341666667	0.090026667756045	0.051976920863198
33.4	0.3953	0.33284006	0.510719965	0.412953341666667	0.090244365501134	0.052102608714927
33.5	0.3898	0.32653406	0.508408965	0.408247675	0.092330156513834	0.053306840717582
33.6	0.3828	0.32272306	0.507378965	0.404300675	0.094186836033142	0.054378795137854
33.7	0.3798	0.32535006	0.504231965	0.403127341666667	0.091694098152675	0.052939612251547
33.8	0.3777	0.32302606	0.498329965	0.399685341666667	0.089696049039031	0.051786038057931
